"Scala_Spark
单选题 （共计 10 题，总计 20分）
1、下面选项中a的取值不一致的是？（ ）。
","[{'optionContent': 'A.val a = 3 \n', 'isCorrect': '-1'}, {'optionContent': 'B.val a:Double = 1 + 2 \n', 'isCorrect': '-1'}, {'optionContent': 'C.var a = 1; a += 2 \n', 'isCorrect': '-1'}, {'optionContent': 'D.val b = 1.+(2); val a = b.toInt \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"2、哪一个是Action执行方法？（ ）。
","[{'optionContent': 'A.Reduce \n', 'isCorrect': '-1'}, {'optionContent': 'B.Join \n', 'isCorrect': '-1'}, {'optionContent': 'C.Map \n', 'isCorrect': '-1'}, {'optionContent': 'D.Union \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"3、指出在Scala中何种情况下赋值语句x=y=1是合法的？（ ）。
","[{'optionContent': 'A.var x={} \n', 'isCorrect': '-1'}, {'optionContent': 'B.var x=1 \n', 'isCorrect': '-1'}, {'optionContent': 'C.var x=""test"" \n', 'isCorrect': '-1'}, {'optionContent': 'D.var x=(1,1) \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"4、类定义如下，描述不正确的是
abstract class Element 
{ 
def contents: Array[String] 
} 
？（ ）。
","[{'optionContent': 'A.Element是一个抽象类。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.Element不能实例化。 \n', 'isCorrect': '-1'}, {'optionContent': 'C.contents成员定义错误，没有初始化。 \n', 'isCorrect': '-1'}, {'optionContent': 'D.contents方法是类Element的抽象成员。 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"5、对于拉链操作val t1 = Array(1, 3); val t2 = Array(2,4) ; t1.zip(t2)返回结果正确的是？（ ）。
","[{'optionContent': 'A.（1,2,3,4) \n', 'isCorrect': '-1'}, {'optionContent': 'B.（(1,3),(2,4)) \n', 'isCorrect': '-1'}, {'optionContent': 'C.（(1,2),(3,4)) \n', 'isCorrect': '-1'}, {'optionContent': 'D.（(1,4),(3,4)) \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"6、有关柯里化描述错误的是 ？（ ）。
","[{'optionContent': 'A.柯里化是指将原来接受两个参数的函数变成新的接受一个参数的函数的过程。新的函数返回一个以原有第二个参数作为参数的函数。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.柯里化是多参数列表函数的特例。 \n', 'isCorrect': '-1'}, {'optionContent': 'C.将函数def add(x: Int, y: Int) = x + y，变形为def add(x: Int)(y: Int) = x + y的过程是一个柯里化过程。 \n', 'isCorrect': '-1'}, {'optionContent': 'D.柯里化允许用户自建立控制结构 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"7、scala中，下面的哪个类定义是不正确的？（ ）。
","[{'optionContent': 'A.class Counter{def counter = “counter”} \n', 'isCorrect': '-1'}, {'optionContent': 'B.class Counter{val counter = “counter”} \n', 'isCorrect': '-1'}, {'optionContent': 'C.class Counter{var counter:String} \n', 'isCorrect': '-1'}, {'optionContent': 'D.class Counter{def counter () {}} \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"8、哪一个是Action执行方法？（ ）。
","[{'optionContent': 'A.Map \n', 'isCorrect': '-1'}, {'optionContent': 'B.FlatMap \n', 'isCorrect': '-1'}, {'optionContent': 'C.Fliter \n', 'isCorrect': '-1'}, {'optionContent': 'D.Count \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"9、关于元组 Tuple 说法错误的是？（ ）。
","[{'optionContent': 'A.元组的可以包含不同类型的元素 \n', 'isCorrect': '-1'}, {'optionContent': 'B.元组是不可变的 \n', 'isCorrect': '-1'}, {'optionContent': 'C.访问元组第一个元素的方式为 pair._1 \n', 'isCorrect': '-1'}, {'optionContent': 'D.元组最多只有2个元素 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"10、在Scala中如何获取字符串”Hello”的首字符和尾字符？
","[{'optionContent': 'A.”Hello”(0),”Hello”(5) \n', 'isCorrect': '-1'}, {'optionContent': 'B.Hello”.take(1),”Hello”.reverse(0) \n', 'isCorrect': '-1'}, {'optionContent': 'C.“Hello”(1),”Hello”(5) \n', 'isCorrect': '-1'}, {'optionContent': 'D.“Hello”.take(0),”Hello”.takeRight(1) \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"多选题 （共计 10 题，总计 20分）
11、对于Spark的运行模式描述正确的是？（ ）。
","[{'optionContent': 'A.Standalone是单机模式 \n', 'isCorrect': '-1'}, {'optionContent': 'B.Local模式一般用于测试 \n', 'isCorrect': '-1'}, {'optionContent': 'C.On Yarn模式由Spark的Master来负责集群资源管理 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Local模式是单机模式 \n', 'isCorrect': '-1'}]","【答案解析】local：只启动一个executorlocal[k]:启动k个executorlocal：启动跟cpu数目相同的 executorstandalone模式分布式部署集群， 自带完整的服务，资源管理和任务监控是Spark自己监控Spark on yarn模式分布式部署集群，资源和任务监控交给yarn管理
","【正确答案】B,D
"
